base_id,family_id,display_name,slot,idle,walk,run,manifest
tiefling-female-01,leather-jerkin,Leather Jerkin,outerwear,tiefling-female-01/leather-jerkin/idle.png,tiefling-female-01/leather-jerkin/walk.png,tiefling-female-01/leather-jerkin/run.png,tiefling-female-01/leather-jerkin/cleanup_manifest.json
dwarf-male-01,leather-jerkin,Leather Jerkin,outerwear,dwarf-male-01/leather-jerkin/idle.png,dwarf-male-01/leather-jerkin/walk.png,dwarf-male-01/leather-jerkin/run.png,dwarf-male-01/leather-jerkin/cleanup_manifest.json
human-muscular-male-01,leather-jerkin,Leather Jerkin,outerwear,human-muscular-male-01/leather-jerkin/idle.png,human-muscular-male-01/leather-jerkin/walk.png,human-muscular-male-01/leather-jerkin/run.png,human-muscular-male-01/leather-jerkin/cleanup_manifest.json
elf-01,open-front-work-vest,Open-Front Work Vest,outerwear,elf-01/open-front-work-vest/idle.png,elf-01/open-front-work-vest/walk.png,elf-01/open-front-work-vest/run.png,elf-01/open-front-work-vest/cleanup_manifest.json
tiefling-female-01,open-front-work-vest,Open-Front Work Vest,outerwear,tiefling-female-01/open-front-work-vest/idle.png,tiefling-female-01/open-front-work-vest/walk.png,tiefling-female-01/open-front-work-vest/run.png,tiefling-female-01/open-front-work-vest/cleanup_manifest.json
dwarf-male-01,open-front-work-vest,Open-Front Work Vest,outerwear,dwarf-male-01/open-front-work-vest/idle.png,dwarf-male-01/open-front-work-vest/walk.png,dwarf-male-01/open-front-work-vest/run.png,dwarf-male-01/open-front-work-vest/cleanup_manifest.json
human-muscular-male-01,open-front-work-vest,Open-Front Work Vest,outerwear,human-muscular-male-01/open-front-work-vest/idle.png,human-muscular-male-01/open-front-work-vest/walk.png,human-muscular-male-01/open-front-work-vest/run.png,human-muscular-male-01/open-front-work-vest/cleanup_manifest.json
elf-01,hooded-surcoat,Hooded Surcoat,outerwear,elf-01/hooded-surcoat/idle.png,elf-01/hooded-surcoat/walk.png,elf-01/hooded-surcoat/run.png,elf-01/hooded-surcoat/cleanup_manifest.json
tiefling-female-01,hooded-surcoat,Hooded Surcoat,outerwear,tiefling-female-01/hooded-surcoat/idle.png,tiefling-female-01/hooded-surcoat/walk.png,tiefling-female-01/hooded-surcoat/run.png,tiefling-female-01/hooded-surcoat/cleanup_manifest.json
dwarf-male-01,hooded-surcoat,Hooded Surcoat,outerwear,dwarf-male-01/hooded-surcoat/idle.png,dwarf-male-01/hooded-surcoat/walk.png,dwarf-male-01/hooded-surcoat/run.png,dwarf-male-01/hooded-surcoat/cleanup_manifest.json
human-muscular-male-01,hooded-surcoat,Hooded Surcoat,outerwear,human-muscular-male-01/hooded-surcoat/idle.png,human-muscular-male-01/hooded-surcoat/walk.png,human-muscular-male-01/hooded-surcoat/run.png,human-muscular-male-01/hooded-surcoat/cleanup_manifest.json
elf-01,travel-shorts,Travel Shorts,legwear,elf-01/travel-shorts/idle.png,elf-01/travel-shorts/walk.png,elf-01/travel-shorts/run.png,elf-01/travel-shorts/cleanup_manifest.json
tiefling-female-01,travel-shorts,Travel Shorts,legwear,tiefling-female-01/travel-shorts/idle.png,tiefling-female-01/travel-shorts/walk.png,tiefling-female-01/travel-shorts/run.png,tiefling-female-01/travel-shorts/cleanup_manifest.json
dwarf-male-01,travel-shorts,Travel Shorts,legwear,dwarf-male-01/travel-shorts/idle.png,dwarf-male-01/travel-shorts/walk.png,dwarf-male-01/travel-shorts/run.png,dwarf-male-01/travel-shorts/cleanup_manifest.json
human-muscular-male-01,travel-shorts,Travel Shorts,legwear,human-muscular-male-01/travel-shorts/idle.png,human-muscular-male-01/travel-shorts/walk.png,human-muscular-male-01/travel-shorts/run.png,human-muscular-male-01/travel-shorts/cleanup_manifest.json
elf-01,knee-breeches,Knee Breeches,legwear,elf-01/knee-breeches/idle.png,elf-01/knee-breeches/walk.png,elf-01/knee-breeches/run.png,elf-01/knee-breeches/cleanup_manifest.json
tiefling-female-01,knee-breeches,Knee Breeches,legwear,tiefling-female-01/knee-breeches/idle.png,tiefling-female-01/knee-breeches/walk.png,tiefling-female-01/knee-breeches/run.png,tiefling-female-01/knee-breeches/cleanup_manifest.json
dwarf-male-01,knee-breeches,Knee Breeches,legwear,dwarf-male-01/knee-breeches/idle.png,dwarf-male-01/knee-breeches/walk.png,dwarf-male-01/knee-breeches/run.png,dwarf-male-01/knee-breeches/cleanup_manifest.json
human-muscular-male-01,knee-breeches,Knee Breeches,legwear,human-muscular-male-01/knee-breeches/idle.png,human-muscular-male-01/knee-breeches/walk.png,human-muscular-male-01/knee-breeches/run.png,human-muscular-male-01/knee-breeches/cleanup_manifest.json
elf-01,fitted-trousers,Fitted Trousers,legwear,elf-01/fitted-trousers/idle.png,elf-01/fitted-trousers/walk.png,elf-01/fitted-trousers/run.png,elf-01/fitted-trousers/cleanup_manifest.json
tiefling-female-01,fitted-trousers,Fitted Trousers,legwear,tiefling-female-01/fitted-trousers/idle.png,tiefling-female-01/fitted-trousers/walk.png,tiefling-female-01/fitted-trousers/run.png,tiefling-female-01/fitted-trousers/cleanup_manifest.json
dwarf-male-01,fitted-trousers,Fitted Trousers,legwear,dwarf-male-01/fitted-trousers/idle.png,dwarf-male-01/fitted-trousers/walk.png,dwarf-male-01/fitted-trousers/run.png,dwarf-male-01/fitted-trousers/cleanup_manifest.json
human-muscular-male-01,fitted-trousers,Fitted Trousers,legwear,human-muscular-male-01/fitted-trousers/idle.png,human-muscular-male-01/fitted-trousers/walk.png,human-muscular-male-01/fitted-trousers/run.png,human-muscular-male-01/fitted-trousers/cleanup_manifest.json
elf-01,high-waist-pants,High-Waist Pants,legwear,elf-01/high-waist-pants/idle.png,elf-01/high-waist-pants/walk.png,elf-01/high-waist-pants/run.png,elf-01/high-waist-pants/cleanup_manifest.json
tiefling-female-01,high-waist-pants,High-Waist Pants,legwear,tiefling-female-01/high-waist-pants/idle.png,tiefling-female-01/high-waist-pants/walk.png,tiefling-female-01/high-waist-pants/run.png,tiefling-female-01/high-waist-pants/cleanup_manifest.json
dwarf-male-01,high-waist-pants,High-Waist Pants,legwear,dwarf-male-01/high-waist-pants/idle.png,dwarf-male-01/high-waist-pants/walk.png,dwarf-male-01/high-waist-pants/run.png,dwarf-male-01/high-waist-pants/cleanup_manifest.json
human-muscular-male-01,high-waist-pants,High-Waist Pants,legwear,human-muscular-male-01/high-waist-pants/idle.png,human-muscular-male-01/high-waist-pants/walk.png,human-muscular-male-01/high-waist-pants/run.png,human-muscular-male-01/high-waist-pants/cleanup_manifest.json
elf-01,low-waist-pants,Low-Waist Pants,legwear,elf-01/low-waist-pants/idle.png,elf-01/low-waist-pants/walk.png,elf-01/low-waist-pants/run.png,elf-01/low-waist-pants/cleanup_manifest.json
tiefling-female-01,low-waist-pants,Low-Waist Pants,legwear,tiefling-female-01/low-waist-pants/idle.png,tiefling-female-01/low-waist-pants/walk.png,tiefling-female-01/low-waist-pants/run.png,tiefling-female-01/low-waist-pants/cleanup_manifest.json
dwarf-male-01,low-waist-pants,Low-Waist Pants,legwear,dwarf-male-01/low-waist-pants/idle.png,dwarf-male-01/low-waist-pants/walk.png,dwarf-male-01/low-waist-pants/run.png,dwarf-male-01/low-waist-pants/cleanup_manifest.json
human-muscular-male-01,low-waist-pants,Low-Waist Pants,legwear,human-muscular-male-01/low-waist-pants/idle.png,human-muscular-male-01/low-waist-pants/walk.png,human-muscular-male-01/low-waist-pants/run.png,human-muscular-male-01/low-waist-pants/cleanup_manifest.json
elf-01,reinforced-leggings,Reinforced Leggings,legwear,elf-01/reinforced-leggings/idle.png,elf-01/reinforced-leggings/walk.png,elf-01/reinforced-leggings/run.png,elf-01/reinforced-leggings/cleanup_manifest.json
tiefling-female-01,reinforced-leggings,Reinforced Leggings,legwear,tiefling-female-01/reinforced-leggings/idle.png,tiefling-female-01/reinforced-leggings/walk.png,tiefling-female-01/reinforced-leggings/run.png,tiefling-female-01/reinforced-leggings/cleanup_manifest.json
dwarf-male-01,reinforced-leggings,Reinforced Leggings,legwear,dwarf-male-01/reinforced-leggings/idle.png,dwarf-male-01/reinforced-leggings/walk.png,dwarf-male-01/reinforced-leggings/run.png,dwarf-male-01/reinforced-leggings/cleanup_manifest.json
human-muscular-male-01,reinforced-leggings,Reinforced Leggings,legwear,human-muscular-male-01/reinforced-leggings/idle.png,human-muscular-male-01/reinforced-leggings/walk.png,human-muscular-male-01/reinforced-leggings/run.png,human-muscular-male-01/reinforced-leggings/cleanup_manifest.json
elf-01,fingerless-gloves,Fingerless Gloves,hands,elf-01/fingerless-gloves/idle.png,elf-01/fingerless-gloves/walk.png,elf-01/fingerless-gloves/run.png,elf-01/fingerless-gloves/cleanup_manifest.json
tiefling-female-01,fingerless-gloves,Fingerless Gloves,hands,tiefling-female-01/fingerless-gloves/idle.png,tiefling-female-01/fingerless-gloves/walk.png,tiefling-female-01/fingerless-gloves/run.png,tiefling-female-01/fingerless-gloves/cleanup_manifest.json
dwarf-male-01,fingerless-gloves,Fingerless Gloves,hands,dwarf-male-01/fingerless-gloves/idle.png,dwarf-male-01/fingerless-gloves/walk.png,dwarf-male-01/fingerless-gloves/run.png,dwarf-male-01/fingerless-gloves/cleanup_manifest.json
human-muscular-male-01,fingerless-gloves,Fingerless Gloves,hands,human-muscular-male-01/fingerless-gloves/idle.png,human-muscular-male-01/fingerless-gloves/walk.png,human-muscular-male-01/fingerless-gloves/run.png,human-muscular-male-01/fingerless-gloves/cleanup_manifest.json
elf-01,leather-gauntlets,Leather Gauntlets,hands,elf-01/leather-gauntlets/idle.png,elf-01/leather-gauntlets/walk.png,elf-01/leather-gauntlets/run.png,elf-01/leather-gauntlets/cleanup_manifest.json
tiefling-female-01,leather-gauntlets,Leather Gauntlets,hands,tiefling-female-01/leather-gauntlets/idle.png,tiefling-female-01/leather-gauntlets/walk.png,tiefling-female-01/leather-gauntlets/run.png,tiefling-female-01/leather-gauntlets/cleanup_manifest.json
dwarf-male-01,leather-gauntlets,Leather Gauntlets,hands,dwarf-male-01/leather-gauntlets/idle.png,dwarf-male-01/leather-gauntlets/walk.png,dwarf-male-01/leather-gauntlets/run.png,dwarf-male-01/leather-gauntlets/cleanup_manifest.json
human-muscular-male-01,leather-gauntlets,Leather Gauntlets,hands,human-muscular-male-01/leather-gauntlets/idle.png,human-muscular-male-01/leather-gauntlets/walk.png,human-muscular-male-01/leather-gauntlets/run.png,human-muscular-male-01/leather-gauntlets/cleanup_manifest.json
elf-01,wrist-bracers,Wrist Bracers,hands,elf-01/wrist-bracers/idle.png,elf-01/wrist-bracers/walk.png,elf-01/wrist-bracers/run.png,elf-01/wrist-bracers/cleanup_manifest.json
tiefling-female-01,wrist-bracers,Wrist Bracers,hands,tiefling-female-01/wrist-bracers/idle.png,tiefling-female-01/wrist-bracers/walk.png,tiefling-female-01/wrist-bracers/run.png,tiefling-female-01/wrist-bracers/cleanup_manifest.json
dwarf-male-01,wrist-bracers,Wrist Bracers,hands,dwarf-male-01/wrist-bracers/idle.png,dwarf-male-01/wrist-bracers/walk.png,dwarf-male-01/wrist-bracers/run.png,dwarf-male-01/wrist-bracers/cleanup_manifest.json
human-muscular-male-01,wrist-bracers,Wrist Bracers,hands,human-muscular-male-01/wrist-bracers/idle.png,human-muscular-male-01/wrist-bracers/walk.png,human-muscular-male-01/wrist-bracers/run.png,human-muscular-male-01/wrist-bracers/cleanup_manifest.json
elf-01,low-travel-shoes,Low Travel Shoes,feet,elf-01/low-travel-shoes/idle.png,elf-01/low-travel-shoes/walk.png,elf-01/low-travel-shoes/run.png,elf-01/low-travel-shoes/cleanup_manifest.json
tiefling-female-01,low-travel-shoes,Low Travel Shoes,feet,tiefling-female-01/low-travel-shoes/idle.png,tiefling-female-01/low-travel-shoes/walk.png,tiefling-female-01/low-travel-shoes/run.png,tiefling-female-01/low-travel-shoes/cleanup_manifest.json
dwarf-male-01,low-travel-shoes,Low Travel Shoes,feet,dwarf-male-01/low-travel-shoes/idle.png,dwarf-male-01/low-travel-shoes/walk.png,dwarf-male-01/low-travel-shoes/run.png,dwarf-male-01/low-travel-shoes/cleanup_manifest.json
human-muscular-male-01,low-travel-shoes,Low Travel Shoes,feet,human-muscular-male-01/low-travel-shoes/idle.png,human-muscular-male-01/low-travel-shoes/walk.png,human-muscular-male-01/low-travel-shoes/run.png,human-muscular-male-01/low-travel-shoes/cleanup_manifest.json
elf-01,ankle-boots,Ankle Boots,feet,elf-01/ankle-boots/idle.png,elf-01/ankle-boots/walk.png,elf-01/ankle-boots/run.png,elf-01/ankle-boots/cleanup_manifest.json
tiefling-female-01,ankle-boots,Ankle Boots,feet,tiefling-female-01/ankle-boots/idle.png,tiefling-female-01/ankle-boots/walk.png,tiefling-female-01/ankle-boots/run.png,tiefling-female-01/ankle-boots/cleanup_manifest.json
dwarf-male-01,ankle-boots,Ankle Boots,feet,dwarf-male-01/ankle-boots/idle.png,dwarf-male-01/ankle-boots/walk.png,dwarf-male-01/ankle-boots/run.png,dwarf-male-01/ankle-boots/cleanup_manifest.json
human-muscular-male-01,ankle-boots,Ankle Boots,feet,human-muscular-male-01/ankle-boots/idle.png,human-muscular-male-01/ankle-boots/walk.png,human-muscular-male-01/ankle-boots/run.png,human-muscular-male-01/ankle-boots/cleanup_manifest.json
elf-01,mid-calf-boots,Mid-Calf Boots,feet,elf-01/mid-calf-boots/idle.png,elf-01/mid-calf-boots/walk.png,elf-01/mid-calf-boots/run.png,elf-01/mid-calf-boots/cleanup_manifest.json
tiefling-female-01,mid-calf-boots,Mid-Calf Boots,feet,tiefling-female-01/mid-calf-boots/idle.png,tiefling-female-01/mid-calf-boots/walk.png,tiefling-female-01/mid-calf-boots/run.png,tiefling-female-01/mid-calf-boots/cleanup_manifest.json
dwarf-male-01,mid-calf-boots,Mid-Calf Boots,feet,dwarf-male-01/mid-calf-boots/idle.png,dwarf-male-01/mid-calf-boots/walk.png,dwarf-male-01/mid-calf-boots/run.png,dwarf-male-01/mid-calf-boots/cleanup_manifest.json
human-muscular-male-01,mid-calf-boots,Mid-Calf Boots,feet,human-muscular-male-01/mid-calf-boots/idle.png,human-muscular-male-01/mid-calf-boots/walk.png,human-muscular-male-01/mid-calf-boots/run.png,human-muscular-male-01/mid-calf-boots/cleanup_manifest.json
elf-01,tall-riding-boots,Tall Riding Boots,feet,elf-01/tall-riding-boots/idle.png,elf-01/tall-riding-boots/walk.png,elf-01/tall-riding-boots/run.png,elf-01/tall-riding-boots/cleanup_manifest.json
tiefling-female-01,tall-riding-boots,Tall Riding Boots,feet,tiefling-female-01/tall-riding-boots/idle.png,tiefling-female-01/tall-riding-boots/walk.png,tiefling-female-01/tall-riding-boots/run.png,tiefling-female-01/tall-riding-boots/cleanup_manifest.json
dwarf-male-01,tall-riding-boots,Tall Riding Boots,feet,dwarf-male-01/tall-riding-boots/idle.png,dwarf-male-01/tall-riding-boots/walk.png,dwarf-male-01/tall-riding-boots/run.png,dwarf-male-01/tall-riding-boots/cleanup_manifest.json
human-muscular-male-01,tall-riding-boots,Tall Riding Boots,feet,human-muscular-male-01/tall-riding-boots/idle.png,human-muscular-male-01/tall-riding-boots/walk.png,human-muscular-male-01/tall-riding-boots/run.png,human-muscular-male-01/tall-riding-boots/cleanup_manifest.json
elf-01,cloth-headband,Cloth Headband,headwear,elf-01/cloth-headband/idle.png,elf-01/cloth-headband/walk.png,elf-01/cloth-headband/run.png,elf-01/cloth-headband/cleanup_manifest.json
tiefling-female-01,cloth-headband,Cloth Headband,headwear,tiefling-female-01/cloth-headband/idle.png,tiefling-female-01/cloth-headband/walk.png,tiefling-female-01/cloth-headband/run.png,tiefling-female-01/cloth-headband/cleanup_manifest.json
dwarf-male-01,cloth-headband,Cloth Headband,headwear,dwarf-male-01/cloth-headband/idle.png,dwarf-male-01/cloth-headband/walk.png,dwarf-male-01/cloth-headband/run.png,dwarf-male-01/cloth-headband/cleanup_manifest.json
human-muscular-male-01,cloth-headband,Cloth Headband,headwear,human-muscular-male-01/cloth-headband/idle.png,human-muscular-male-01/cloth-headband/walk.png,human-muscular-male-01/cloth-headband/run.png,human-muscular-male-01/cloth-headband/cleanup_manifest.json
elf-01,soft-travel-cap,Soft Travel Cap,headwear,elf-01/soft-travel-cap/idle.png,elf-01/soft-travel-cap/walk.png,elf-01/soft-travel-cap/run.png,elf-01/soft-travel-cap/cleanup_manifest.json
tiefling-female-01,soft-travel-cap,Soft Travel Cap,headwear,tiefling-female-01/soft-travel-cap/idle.png,tiefling-female-01/soft-travel-cap/walk.png,tiefling-female-01/soft-travel-cap/run.png,tiefling-female-01/soft-travel-cap/cleanup_manifest.json
dwarf-male-01,soft-travel-cap,Soft Travel Cap,headwear,dwarf-male-01/soft-travel-cap/idle.png,dwarf-male-01/soft-travel-cap/walk.png,dwarf-male-01/soft-travel-cap/run.png,dwarf-male-01/soft-travel-cap/cleanup_manifest.json
human-muscular-male-01,soft-travel-cap,Soft Travel Cap,headwear,human-muscular-male-01/soft-travel-cap/idle.png,human-muscular-male-01/soft-travel-cap/walk.png,human-muscular-male-01/soft-travel-cap/run.png,human-muscular-male-01/soft-travel-cap/cleanup_manifest.json
elf-01,padded-coif,Padded Coif,headwear,elf-01/padded-coif/idle.png,elf-01/padded-coif/walk.png,elf-01/padded-coif/run.png,elf-01/padded-coif/cleanup_manifest.json
tiefling-female-01,padded-coif,Padded Coif,headwear,tiefling-female-01/padded-coif/idle.png,tiefling-female-01/padded-coif/walk.png,tiefling-female-01/padded-coif/run.png,tiefling-female-01/padded-coif/cleanup_manifest.json
dwarf-male-01,padded-coif,Padded Coif,headwear,dwarf-male-01/padded-coif/idle.png,dwarf-male-01/padded-coif/walk.png,dwarf-male-01/padded-coif/run.png,dwarf-male-01/padded-coif/cleanup_manifest.json
human-muscular-male-01,padded-coif,Padded Coif,headwear,human-muscular-male-01/padded-coif/idle.png,human-muscular-male-01/padded-coif/walk.png,human-muscular-male-01/padded-coif/run.png,human-muscular-male-01/padded-coif/cleanup_manifest.json
elf-01,simple-guard-helm,Simple Guard Helm,headwear,elf-01/simple-guard-helm/idle.png,elf-01/simple-guard-helm/walk.png,elf-01/simple-guard-helm/run.png,elf-01/simple-guard-helm/cleanup_manifest.json
tiefling-female-01,simple-guard-helm,Simple Guard Helm,headwear,tiefling-female-01/simple-guard-helm/idle.png,tiefling-female-01/simple-guard-helm/walk.png,tiefling-female-01/simple-guard-helm/run.png,tiefling-female-01/simple-guard-helm/cleanup_manifest.json
dwarf-male-01,simple-guard-helm,Simple Guard Helm,headwear,dwarf-male-01/simple-guard-helm/idle.png,dwarf-male-01/simple-guard-helm/walk.png,dwarf-male-01/simple-guard-helm/run.png,dwarf-male-01/simple-guard-helm/cleanup_manifest.json
human-muscular-male-01,simple-guard-helm,Simple Guard Helm,headwear,human-muscular-male-01/simple-guard-helm/idle.png,human-muscular-male-01/simple-guard-helm/walk.png,human-muscular-male-01/simple-guard-helm/run.png,human-muscular-male-01/simple-guard-helm/cleanup_manifest.json
